id,name,taxonomy,parent_id
9632b945-241b-4de3-a3d8-2008667ccfd6,Family Support,SF Service Guide,
16d0f146-2db8-4a2b-b375-7f4fc224b92f,Family Shelters,SF Service Guide,
76894e9a-ca26-4c40-a6dc-6a64f873fed4,Long-Term Housing,SF Service Guide,
271e0d4b-f43d-4a2d-add2-3435b76585f6,Housing Assistance,SF Service Guide,
6837aaaa-88c3-4368-9649-2c6ba7964c82,Emergency Rental Assistance,SF Service Guide,
4c852725-4a3f-4fe8-889e-7032503ca634,sfsg-housing,SF Service Guide,
b938fc89-8d9e-4173-85d4-c45eed23b355,sfsg-domesticviolence,SF Service Guide,
7ed149f4-8306-4d36-89c5-288a0f0e799a,sfsg-shelter,SF Service Guide,
0260cf87-1432-4307-ac5e-7e8c349977d3,Family Resource Centers,SF Service Guide,
eb0060d7-6469-4c26-8e2e-61d1fba97d5d,sfsg-substanceuse,SF Service Guide,
c3493af4-f759-45ae-8888-e61163c4cc47,Emergency Shelters,SF Service Guide,
be690773-9720-40f3-a83c-26b5390d0289,Housing & Rental Assistance,SF Service Guide,
788fae23-127f-4706-bb30-36300d775d02,Mental Health Care,SF Service Guide,
cbf0c215-d086-4883-b4e2-1884fe0ee54d,Family Support,SF Service Guide,
99424e33-cbe9-4024-b17c-535dc9739198,Family Shelters,SF Service Guide,
733e005f-ee4b-4376-a53c-453085f9c355,Daily Life Skills,SF Service Guide,
9db30a8f-250d-4927-baf0-c2f05458954f,Parenting Education,SF Service Guide,
7ad94bb1-2c5c-4b6f-9640-40f271435b94,Food,SF Service Guide,
dd38f379-909d-404a-94d5-10c80081a3ca,Basic Needs & Shelter,SF Service Guide,
376b4045-8cf4-4c10-ae02-06e710759dfd,Temporary Shelter,SF Service Guide,
da8b3201-5456-4257-adff-ed8167bc7287,Case Manager,SF Service Guide,
561bd30d-11f2-4ec0-8b02-423c317cdc0c,Our Family is Experiencing Homelessness and I Need Subsidies,SF Service Guide,
ad5fae91-89b3-4fb0-9809-1fba6969a1f4,Other Mental Health Services,SF Service Guide,
d4dc1c28-f5d7-412e-b1c3-2643c1130e40,sfsg-housing,SF Service Guide,
87fb94b1-8dcd-4b0f-8a98-f8c832159ece,sfsg-shelter,SF Service Guide,
280e733d-dff9-4846-b4a2-50bdf4f1a142,We are a family with children under 18 years old.,SF Service Guide,
